;Unnamed: 0;year;countryName;regionName;NUTRITION_ANAEMIA_CHILDREN_PRE;CM_03;CHILDMORT5TO14;CM_01;CM_02;MDG_0000000001;MDG_0000000020;MDG_0000000007;WHS4_544;WHS4_100;WSH_SANITATION_BASIC;WHOSIS_000003;WHOSIS_000014;WHS8_110;WSH_WATER_BASIC;TB_e_inc_num;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_C;NCD_HYP_PREVALENCE_A;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_NUM;CM_04;CHILDMORT10TO19;NCD_HYP_DIAGNOSIS_C;CHILDMORT_DEATHS_10TO14;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;NUTRITION_ANAEMIA_NONPREGNANT__y;NCD_HYP_DIAGNOSIS_A;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NCD_HYP_TREATMENT_C;POP;percent
3420;3420;2004;Palau;Western Pacific;109.5;4.0;16.3922;14.0;14.0;71.70268999999999;29.0;79.13368;98.0;98.0;275.12568;14.16969;9.91133;99.0;297.86154;6.0;8.93333;114.0;115.0;110.9;123.70000000000002;85.92300000000002;22.4;91.9;87.027;0.194;1.483;2.0;61.59024;120.3;2.0;126.0;2.50026;108.0;127.0;85.92300000000002;128.8;23.7;87.027;81.0;19907.0;0.550057768624102
3421;3421;2001;Palau;Western Pacific;107.3;4.0;17.16074;16.0;14.0;75.04390000000001;64.0;83.48937000000001;98.0;98.0;269.74237;14.95518;10.2571;91.0;297.5816;13.0;9.409949999999998;114.0;115.0;105.7;120.7;86.82100000000001;20.200000000000003;88.19999999999999;87.83099999999999;0.21;1.322;2.0;59.62522;114.5;2.0;126.0;2.59787;108.9;127.0;86.82100000000001;123.5;21.4;87.83099999999999;77.1;19828.0;0.5411539237442001
3422;3422;2002;Palau;Western Pacific;108.0;4.0;16.90777;16.0;14.0;73.81587999999999;64.0;81.98911;99.0;99.0;271.49077;14.71621;10.15116;99.0;297.67177;13.0;9.25038;114.0;115.0;107.1;121.6;86.235;20.9;89.30000000000001;87.43299999999999;0.208;1.346;2.0;60.28533;116.2;2.0;126.0;2.56397;108.4;127.0;86.235;125.3;22.1;87.43299999999999;78.1;19851.0;0.5440531963125284
3423;3423;2003;Palau;Western Pacific;108.7;4.0;16.63942;14.0;14.0;72.74897;52.0;80.54718;99.0;99.0;273.24336;14.45264;10.04517;99.0;297.76231;10.0;9.0847;114.0;115.0;108.9;122.6;86.04700000000001;21.6;90.5;87.033;0.206;1.409;2.0;60.96588;118.1;2.0;126.0;2.53179;108.2;127.0;86.04700000000001;126.8;22.9;87.033;79.4;19880.0;0.5467806841046278
3424;3424;2005;Palau;Western Pacific;110.1;4.0;16.114939999999997;14.0;14.0;70.56148;58.0;77.66081;98.0;98.0;276.99276999999995;13.89893;9.77989;98.0;297.95955000000004;12.0;8.76876;114.0;115.0;113.4;124.8;85.603;23.3;93.2;86.68500000000002;0.182;1.499;2.0;62.073350000000005;122.8;2.0;126.0;2.46471;107.5;127.0;85.603;130.6;24.6;86.68500000000002;82.80000000000001;19831.0;0.5551913670515859
3425;3425;2006;Palau;Western Pacific;110.7;4.0;15.83086;14.0;12.0;69.43391;70.0;76.20232999999999;98.0;98.0;278.84526;13.6185;9.6518;98.0;298.05637;14.0;8.60616;114.0;115.0;115.1;126.1;85.55499999999999;24.200000000000003;94.5;86.636;0.1699999999999999;1.631;2.0;62.16375000000001;125.4;2.0;126.0;2.43035;107.2;127.0;85.55499999999999;132.7;25.5;86.636;84.4;19619.0;0.5642489423518018
3426;3426;2007;Palau;Western Pacific;110.8;4.0;15.56727;14.0;12.0;68.22608;65.0;74.68267;94.0;94.0;280.68330000000003;13.2758;9.49593;91.0;298.15204;13.0;8.458369999999999;113.0;115.0;117.2;127.3;85.496;25.0;95.8;86.37500000000001;0.1689999999999999;1.6190000000000002;2.0;62.09747;127.9;3.0;126.0;2.39423;106.5;127.0;85.496;134.9;26.3;86.37500000000001;86.0;19366.0;0.5721367344831146
3427;3427;2008;Palau;Western Pacific;110.1;3.0;15.25703;14.0;12.0;66.77596;91.0;72.86144;92.0;92.0;282.50735;12.93482;9.3898;97.0;298.24657;17.0;8.28249;114.0;115.0;119.0;128.39999999999998;84.823;25.9;97.2;85.89;0.1669999999999999;1.526;2.0;61.90989;130.5;2.0;126.0;2.35226;105.9;127.0;84.823;137.2;27.200000000000003;85.89;87.7;19102.0;0.576379436708198
3428;3428;2009;Palau;Western Pacific;109.1;3.0;14.91874;12.0;12.0;65.07678;116.0;70.92084;48.0;49.0;284.31751;12.58623;9.24905;75.0;298.33999;22.0;8.08757;114.0;115.0;121.0;129.6;84.42399999999999;27.0;98.3;85.39999999999999;0.1659999999999999;1.41;2.0;61.54189000000001;133.3;2.0;126.0;2.30604;105.29999999999998;127.0;84.42399999999999;139.6;28.0;85.39999999999999;89.4;18826.0;0.5795176883034101
3429;3429;2010;Palau;Western Pacific;108.29999999999998;3.0;14.61586;12.0;12.0;63.48219;118.0;69.10513;68.0;69.0;286.11425;12.24856;9.12333;39.0;298.43233;22.0;7.907419999999999;114.0;115.0;123.0;130.5;84.348;28.0;99.7;85.314;0.1649999999999999;1.363;2.0;61.10048999999999;136.3;2.0;126.0;2.2652;105.0;127.0;84.348;142.0;29.1;85.314;91.2;18540.0;0.5841423948220065
3430;3430;2011;Palau;Western Pacific;107.5;3.0;14.27271;12.0;10.0;61.79623000000001;76.0;67.14760000000001;98.0;84.0;287.8978;11.89271;8.98413;85.0;298.5236;14.0;7.69863;114.0;115.0;125.8;131.4;84.473;29.200000000000003;101.0;85.338;0.1649999999999999;1.285;2.0;60.81306;139.9;2.0;126.0;2.21706;104.7;127.0;84.473;144.5;30.1;85.338;94.0;18240.0;0.5893640350877193
3431;3431;2012;Palau;Western Pacific;106.5;3.0;13.93577;12.0;10.0;60.031400000000005;26.0;65.21179000000001;89.0;89.0;289.66864;11.51678;8.83044;91.0;298.61386;5.0;7.494020000000001;114.0;115.0;128.2;131.9;84.481;30.500000000000004;102.3;85.64500000000001;0.154;1.256;2.0;60.04288;143.6;2.0;126.0;2.17001;104.5;127.0;84.481;147.0;31.2;85.64500000000001;96.7;17946.0;0.5934470076897359
3432;3432;2013;Palau;Western Pacific;105.4;3.0;13.58014;10.0;10.0;58.28038;52.0;63.12451;99.0;99.0;291.4269;11.15268;8.6799;99.0;298.70311;9.0;7.281319999999999;114.0;115.0;130.1;132.2;84.68900000000001;32.2;103.5;85.753;0.154;1.272;2.0;59.34483;147.0;0.0;126.0;2.12362;104.1;127.0;84.68900000000001;149.39999999999998;32.5;85.753;99.3;17805.0;0.591968548160629
3433;3433;2014;Palau;Western Pacific;104.1;3.0;13.21621;10.0;10.0;56.55279;90.0;61.14293;95.0;95.0;293.17306;10.7796;8.53847;83.0;298.79138;16.0;7.06773;114.0;115.0;131.6;132.29999999999998;85.00999999999999;33.8;104.7;85.96300000000001;0.153;1.291;2.0;58.69028;150.5;0.0;126.0;2.07014;103.8;127.0;85.00999999999999;152.0;34.1;85.96300000000001;101.79999999999998;17796.0;0.5849629130141605
3434;3434;2015;Palau;Western Pacific;103.2;3.0;12.8508;10.0;8.0;54.75099;90.0;59.1347;89.0;90.0;294.90745;10.46562;8.39938;95.0;298.87872;16.0;6.852780000000001;114.0;115.0;132.79999999999998;132.3;85.43799999999999;35.7;105.8;86.491;0.153;1.303;2.0;57.99953;153.8;0.0;126.0;2.02237;103.8;127.0;85.43799999999999;154.4;35.599999999999994;86.491;104.2;17794.0;0.579970776666292
3435;3435;2016;Palau;Western Pacific;102.7;2.0;12.51814;10.0;8.0;53.05299;148.0;57.24419;98.0;98.0;296.63019;10.11827;8.24299;96.0;298.96515;26.0;6.6519200000000005;114.0;115.0;134.3;132.1;86.335;37.6;107.1;87.187;0.152;1.289;2.0;57.44995;157.1;0.0;126.0;1.9755;103.5;126.0;86.335;156.79999999999998;37.3;87.187;106.6;17816.0;0.576448136506511
3436;3436;2017;Palau;Western Pacific;101.9;2.0;12.187450000000002;8.0;8.0;51.46192;129.0;55.44277;97.0;97.0;298.34195;9.77477;8.07897;93.0;299.05073000000004;23.0;6.4484;114.0;115.0;135.89999999999998;132.0;86.72399999999999;39.8;108.1;87.686;0.151;1.271;2.0;56.99947999999999;160.3;0.0;126.0;1.9301;103.5;126.0;86.72399999999999;159.1;39.1;87.686;109.0;17837.0;0.5712844088131412
3437;3437;2018;Palau;Western Pacific;101.1;3.0;11.85247;10.0;8.0;49.828050000000005;109.0;53.63808;98.0;95.0;298.34664;9.4279;7.92709;90.0;299.05004;20.0;6.24265;115.0;115.0;137.7;132.0;87.235;42.00000000000001;109.1;88.186;0.151;1.23;2.0;56.55747;163.60000000000002;0.0;126.0;1.88228;103.0;126.0;87.235;161.2;40.900000000000006;88.186;111.5;17864.0;0.5659426780116436
3438;3438;2019;Palau;Western Pacific;100.5;3.0;11.5338;10.0;8.0;48.29288;39.0;51.95602;97.0;97.0;298.35113;9.121;7.77019;97.0;299.04937;7.0;6.04862;115.0;116.0;139.2;131.8;88.151;44.6;110.3;88.89999999999999;0.15;1.21;2.0;56.08772999999999;166.6;0.0;126.0;1.84245;102.9;126.0;88.151;163.4;43.0;88.89999999999999;114.2;17916.0;0.5609511051574012
3439;3439;2000;Palau;Western Pacific;106.8;4.0;17.43892;16.0;14.0;76.41263;64.0;85.17735;96.0;96.0;267.99811;15.24846;10.37931;83.0;297.49175;13.0;9.58578;114.0;115.0;104.7;120.0;87.305;19.6;87.10000000000001;88.417;0.212;1.384;2.0;59.10612;113.1;2.0;126.0;2.63351;109.20000000000002;127.0;87.305;122.1;20.6;88.417;76.5;19726.0;0.5414174186353036
3580;3580;2004;Tuvalu;Western Pacific;152.2;5.0;22.47338;18.0;14.0;94.28668;186.0;115.96811;98.0;98.0;240.06296;22.99124;14.60384;97.0;292.56166;18.0;12.76518;109.0;116.0;120.6;122.9;78.55600000000001;16.4;57.3;80.524;0.1669999999999999;1.843;2.0;55.19333;78.9;2.0;127.0;3.27098;104.4;128.0;78.55600000000001;80.2;16.5;80.524;56.0;9791.0;1.5544888162598303
3581;3581;2001;Tuvalu;Western Pacific;147.60000000000002;6.0;23.57244;20.0;16.0;99.55161;194.0;123.27866;96.0;96.0;239.8869;24.07087;15.09482;99.0;292.53639;19.0;13.48;109.0;116.0;116.7;119.4;79.737;15.2;55.7;81.80399999999999;0.1659999999999999;1.713;2.0;57.46216;75.0;2.0;127.0;3.41954;106.29999999999998;128.0;79.737;76.5;15.3;81.80399999999999;54.2;9621.0;1.5341440598690368
3582;3582;2002;Tuvalu;Western Pacific;149.10000000000002;6.0;23.19513;20.0;16.0;97.75993;156.0;120.73483000000002;98.0;98.0;239.91915;23.81857;14.96741;99.0;292.54102;15.0;13.24088;109.0;116.0;117.7;120.4;79.13799999999999;15.6;56.2;81.19399999999999;0.1659999999999999;1.7679999999999998;2.0;56.50259;76.2;2.0;127.0;3.36877;105.6;128.0;79.13799999999999;77.69999999999999;15.6;81.19399999999999;54.8;9609.0;1.5516703090852328
3583;3583;2003;Tuvalu;Western Pacific;150.60000000000002;5.0;22.85632;18.0;14.0;96.09408;367.0;118.43649;93.0;93.0;239.98295;23.48698;14.77547;95.0;292.55017;35.0;13.0167;109.0;116.0;119.0;121.6;78.84;16.0;56.7;80.917;0.1669999999999999;1.8010000000000002;2.0;55.79681000000001;77.4;2.0;127.0;3.32175;105.0;128.0;78.84;78.9;16.1;80.917;55.3;9668.0;1.5577161770790238
3584;3584;2005;Tuvalu;Western Pacific;153.3;5.0;22.01896;18.0;14.0;92.2487;138.0;113.13698;99.0;93.0;240.14289;22.27369;14.35904;62.0;292.57313;14.0;12.47009;109.0;116.0;122.5;124.5;78.459;16.7;57.900000000000006;80.54700000000001;0.1679999999999999;1.864;2.0;54.52391;80.3;2.0;127.0;3.21251;104.0;128.0;78.459;81.5;16.799999999999997;80.54700000000001;56.8;9912.0;1.5466101694915255
3585;3585;2006;Tuvalu;Western Pacific;153.89999999999998;5.0;21.46728;16.0;14.0;89.77176;102.0;109.74182;97.0;97.0;242.00916;21.28554;14.0343;84.0;293.59519;10.0;12.11197;109.0;116.0;124.7;126.1;78.27400000000002;17.0;58.4;80.25200000000001;0.1679999999999999;1.916;2.0;53.66506;81.8;2.0;127.0;3.14305;103.5;128.0;78.27400000000002;82.8;17.1;80.25200000000001;57.5;10030.0;1.5343968095712859
3586;3586;2007;Tuvalu;Western Pacific;154.2;5.0;20.84279;16.0;14.0;86.98592;203.0;105.96684;97.0;97.0;243.85981;20.02641;13.63466;95.0;294.61394;21.0;11.71007;109.0;116.0;127.1;128.0;78.288;17.3;58.8;80.276;0.1679999999999999;1.922;2.0;52.67108999999999;83.6;2.0;127.0;3.06406;102.8;128.0;78.288;84.1;17.1;80.276;58.2;10149.0;1.5193615134496008
3587;3587;2008;Tuvalu;Western Pacific;153.0;4.0;20.18373;16.0;12.0;84.03221;190.0;101.9377;99.0;99.0;245.69484;18.67042;13.12398;93.0;295.62939;19.0;11.29395;109.0;116.0;129.8;130.0;78.00099999999999;17.3;59.2;79.78899999999999;0.1679999999999999;1.934;2.0;51.59064;85.1;2.0;127.0;2.97986;102.0;128.0;78.00099999999999;85.5;17.299999999999997;79.78899999999999;58.8;10272.0;1.4894859813084111
3588;3588;2009;Tuvalu;Western Pacific;151.20000000000002;4.0;19.4898;14.0;12.0;80.91604;199.0;97.78267;85.0;88.0;247.514;17.37146;12.65606;90.0;296.6415;21.0;10.8609;109.0;116.0;132.39999999999998;132.0;77.404;17.5;59.5;79.392;0.1679999999999999;1.932;2.0;50.40725;86.69999999999999;2.0;127.0;2.89393;101.3;128.0;77.404;86.89999999999999;17.4;79.392;59.3;10408.0;1.4527286702536513
3589;3589;2010;Tuvalu;Western Pacific;149.39999999999998;4.0;18.82062;14.0;12.0;77.92031;153.0;93.84531;89.0;89.0;249.31751;16.16835;12.20656;85.0;297.65032;16.0;10.44778;109.0;116.0;134.9;134.3;77.318;17.5;59.8;79.40700000000001;0.1679999999999999;1.92;2.0;49.24373;88.30000000000001;2.0;127.0;2.80789;101.2;128.0;77.318;88.2;17.3;79.40700000000001;59.8;10550.0;1.4161137440758291
3590;3590;2011;Tuvalu;Western Pacific;147.3;4.0;18.19435;14.0;12.0;75.14443;130.0;90.24621;96.0;96.0;251.10541;15.11354;11.78926;98.0;298.65585000000004;14.0;10.06536;110.0;116.0;137.0;136.3;77.747;17.5;59.8;79.82600000000001;0.1689999999999999;1.915;2.0;48.15586;89.69999999999999;2.0;127.0;2.72742;101.1;128.0;77.747;89.4;17.3;79.82600000000001;59.99999999999999;10700.0;1.3766355140186917
3591;3591;2012;Tuvalu;Western Pacific;144.89999999999998;3.0;17.624679999999998;14.0;12.0;72.61542;203.0;86.90064000000001;97.0;97.0;252.87779;14.23772;11.42356;98.0;299.65811;22.0;9.71835;110.0;116.0;138.89999999999998;138.1;78.06400000000001;17.3;59.9;80.044;0.1689999999999999;1.891;2.0;47.14563;90.9;2.0;127.0;2.65567;101.2;128.0;78.06400000000001;90.6;17.3;80.044;60.1;10854.0;1.3349917081260363
3592;3592;2013;Tuvalu;Western Pacific;142.3;3.0;17.09026;14.0;12.0;70.20611;191.0;83.85437;90.0;90.0;252.04219;13.41896;11.07932;96.0;300.0;21.0;9.39641;110.0;116.0;140.6;140.1;78.69099999999999;17.4;59.9;80.361;0.1699999999999999;1.885;2.0;46.15895999999999;92.1;2.0;127.0;2.58306;101.4;127.0;78.69099999999999;91.8;17.2;80.361;60.1;10918.0;1.3033522623191063
3593;3593;2014;Tuvalu;Western Pacific;139.6;3.0;16.61704;14.0;12.0;68.04298;157.0;80.99374;89.0;89.0;250.32563;12.7515;10.75547;94.0;300.0;17.0;9.11663;110.0;116.0;142.3;141.89999999999998;79.01;17.3;59.8;80.7;0.1699999999999999;1.859;2.0;45.25224;93.2;2.0;127.0;2.51773;101.4;127.0;79.01;93.0;17.200000000000003;80.7;60.1;10899.0;1.280851454261859
3594;3594;2015;Tuvalu;Western Pacific;136.5;3.0;16.11329;12.0;10.0;65.84498;207.0;78.19041;96.0;96.0;250.35576;12.14896;10.47576;94.0;300.0;23.0;8.81803;111.0;116.0;143.8;143.7;79.654;17.3;59.6;81.544;0.181;1.843;2.0;44.21506;94.4;2.0;127.0;2.45313;101.7;127.0;79.654;94.1;17.200000000000003;81.544;59.900000000000006;10877.0;1.2549416199319665
3595;3595;2016;Tuvalu;Western Pacific;134.0;3.0;15.6797;12.0;10.0;63.80763;205.0;75.60416000000001;94.0;94.0;250.38498;11.60402;10.24256;96.0;300.0;22.0;8.56145;111.0;116.0;145.3;145.4;80.599;17.4;59.7;82.6;0.181;1.827;2.0;43.25913;95.4;0.0;126.0;2.39445;102.0;127.0;80.599;95.2;17.4;82.6;59.6;10852.0;1.234795429413933
3596;3596;2017;Tuvalu;Western Pacific;131.10000000000002;3.0;15.203220000000002;12.0;10.0;61.73707;233.0;72.94941;96.0;96.0;250.41323;11.11437;10.00613;95.0;300.0;25.0;8.28005;111.0;116.0;146.5;147.2;81.556;17.5;59.50000000000001;83.34700000000001;0.181;1.798;2.0;42.21594;96.2;0.0;126.0;2.33863;102.0;127.0;81.556;96.3;17.5;83.34700000000001;59.3;10828.0;1.2107499076468418
3597;3597;2018;Tuvalu;Western Pacific;128.39999999999998;3.0;14.80746;12.0;10.0;59.819950000000006;270.0;70.52767;89.0;89.0;250.44059;10.68132;9.81564;88.0;300.0;29.0;8.04223;112.0;116.0;147.9;148.8;82.313;17.6;59.5;83.905;0.181;1.769;2.0;41.31082;97.2;0.0;126.0;2.28231;101.9;127.0;82.313;97.5;17.8;83.905;59.3;10865.0;1.1817763460653472
3598;3598;2019;Tuvalu;Western Pacific;125.8;3.0;14.34777;12.0;10.0;57.77486;296.0;67.98886;92.0;92.0;;10.28863;9.60977;96.0;300.0;32.0;7.760400000000001;112.0;116.0;149.4;150.39999999999998;83.28500000000001;17.9;59.6;84.867;0.182;1.7399999999999998;2.0;40.26434;98.3;0.0;126.0;2.22589;102.0;127.0;83.28500000000001;98.7;18.1;84.867;59.0;10956.0;1.1482292807594012
3599;3599;2000;Tuvalu;Western Pacific;146.39999999999998;6.0;24.04627;22.0;18.0;101.64357;196.0;126.22826;82.0;82.0;;24.3378;15.18999;81.0;;19.0;13.77544;110.0;116.0;115.8;118.8;80.44;14.8;55.2;82.516;0.1659999999999999;1.651;2.0;58.64994;73.8;2.0;127.0;3.47456;107.1;127.0;80.44;75.3;14.9;82.516;53.7;9638.0;1.5189873417721516
3660;3660;2004;Cook Islands;Western Pacific;90.5;2.0;10.04067;10.0;8.0;38.08671;6.1;44.32463;99.0;99.0;93.82705;7.91129;8.68091;99.0;99.88789;1.0;5.24347;116.0;116.0;115.4;119.7;80.499;37.7;115.3;82.041;0.242;1.799;2.0;58.27147;139.6;2.0;127.0;1.62195;103.20000000000002;127.0;80.49899999999998;141.4;38.1;82.041;113.5;15113.0;0.5988222060477735
3661;3661;2001;Cook Islands;Western Pacific;90.3;3.0;11.35707;12.0;10.0;44.12491;13.0;51.43207;90.0;90.0;92.70027;9.20307;9.42938;83.0;99.86995;2.0;6.00996;116.0;116.0;113.2;117.6;81.415;34.099999999999994;111.3;83.27799999999999;0.272;1.862;2.0;62.55292;134.10000000000002;2.0;127.0;1.80974;104.3;127.0;81.415;135.8;34.4;83.27799999999999;109.7;15294.0;0.5904276186739897
3662;3662;2002;Cook Islands;Western Pacific;90.2;3.0;10.90348;12.0;10.0;42.08182;6.3;48.99707;97.0;97.0;93.07586;8.75401;9.14975;95.0;99.87593;1.0;5.74995;116.0;116.0;113.8;118.2;80.75;35.2;112.5;82.71799999999999;0.269;1.802;2.0;61.4086;135.8;2.0;127.0;1.74635;103.8;127.0;80.75;137.5;35.6;82.71799999999999;110.79999999999998;15028.0;0.6002129358530742
3663;3663;2003;Cook Islands;Western Pacific;90.4;3.0;10.469550000000002;10.0;8.0;40.08223;0.0;46.64065;95.0;96.0;93.45146;8.33189;8.90132;99.0;99.88191;0.0;5.49662;116.0;116.0;114.5;118.9;80.613;36.400000000000006;113.9;82.37899999999999;0.255;1.809;2.0;59.97709;137.6;2.0;127.0;1.68446;103.5;127.0;80.613;139.4;36.9;82.37899999999999;112.2;15077.0;0.5995887776082776
3664;3664;2005;Cook Islands;Western Pacific;90.4;2.0;9.61376;8.0;8.0;36.147;6.0;42.05763;99.0;99.0;94.20265;7.51005;8.44836;99.0;99.89387;1.0;4.99112;116.0;116.0;116.4;120.4;80.37400000000001;38.7;116.7;81.91300000000001;0.239;1.778;2.0;56.08870999999999;141.6;2.0;127.0;1.56032;102.6;127.0;80.37400000000001;143.4;39.3;81.91300000000001;114.9;15146.0;0.596857256041199
3665;3665;2006;Cook Islands;Western Pacific;90.2;2.0;9.19735;8.0;6.0;34.23436;6.0;39.83908;99.0;99.0;94.57824;7.10271;8.12952;99.0;99.89985;1.0;4.74734;116.0;116.0;118.2;121.2;80.34900000000002;40.0;117.8;81.676;0.227;1.727;0.0;54.03141;144.0;2.0;127.0;1.49937;102.3;127.0;80.34900000000002;145.5;40.4;81.676;116.3;15199.0;0.5934600960589512
3666;3666;2007;Cook Islands;Western Pacific;89.69999999999999;2.0;8.79426;8.0;6.0;32.38858;6.8;37.70208;99.0;99.0;94.95384;6.71819;7.77935;98.0;99.90583;1.0;4.513;116.0;116.0;120.20000000000002;122.1;80.291;41.0;119.0;81.705;0.225;1.669;0.0;52.48528;146.5;0.0;127.0;1.43901;101.7;127.0;80.291;147.5;41.3;81.705;117.9;15507.0;0.5784484426388082
3667;3667;2008;Cook Islands;Western Pacific;88.7;2.0;8.3987;8.0;6.0;30.64533;12.0;35.68981;99.0;99.0;95.32944;6.35035;7.42839;95.0;99.91181;2.0;4.28534;116.0;116.0;122.4;122.9;79.975;42.1;120.0;81.388;0.212;1.605;0.0;51.18760999999999;149.4;0.0;127.0;1.38166;101.2;127.0;79.975;149.60000000000002;42.1;81.388;119.8;16062.999999999998;0.5522007097055346
3668;3668;2009;Cook Islands;Western Pacific;87.6;2.0;8.03727;6.0;6.0;29.03741;12.0;33.84486;82.0;82.0;95.70503;6.02777;7.08376;78.0;99.91779;2.0;4.08169;116.0;116.0;124.6;123.7;79.40599999999999;43.1;120.9;80.72599999999998;0.21;1.519;0.0;50.09373;152.3;0.0;127.0;1.32895;100.5;127.0;79.40599999999999;151.7;42.8;80.72599999999998;121.6;16634.0;0.526632199110256
3669;3669;2010;Cook Islands;Western Pacific;86.5;2.0;7.72598;6.0;6.0;27.66155;0.0;32.27895;99.0;99.0;96.08063;5.72779;6.75115;99.0;99.92377;0.0;3.90883;116.0;116.0;127.0;124.6;79.333;44.1;121.8;80.641;0.208;1.456;0.0;48.88716;155.5;0.0;127.0;1.28219;99.9;127.0;79.333;153.9;43.5;80.641;123.7;17212.0;0.5025563560306763
3670;3670;2011;Cook Islands;Western Pacific;85.80000000000001;2.0;7.44097;6.0;6.0;26.44065;6.3;30.87092;93.0;93.0;96.45622;5.47503;6.45677;89.0;99.92975;1.0;3.7503;116.0;116.0;128.7;125.3;79.527;45.0;122.5;80.723;0.206;1.38;0.0;47.70685;158.2;0.0;127.0;1.23994;99.8;127.0;79.527;155.9;44.1;80.723;125.2;17769.0;0.482863413810569
3671;3671;2012;Cook Islands;Western Pacific;84.9;2.0;7.1884;6.0;6.0;25.32414;6.4;29.5967;98.0;98.0;96.83182;5.24443;6.18293;97.0;99.93573;1.0;3.60763;116.0;116.0;130.5;125.7;79.68799999999999;45.8;123.2;80.88199999999998;0.194;1.308;0.0;46.59658;161.0;0.0;127.0;1.20091;99.6;127.0;79.68799999999999;157.9;44.7;80.88199999999998;126.8;18000.0;0.4716666666666667
3672;3672;2013;Cook Islands;Western Pacific;83.9;2.0;6.962389999999999;6.0;6.0;24.32402;13.0;28.425;98.0;98.0;97.20741;5.03139;5.94145;97.0;99.94171;2.0;3.4792500000000004;116.0;116.0;132.4;126.3;79.95599999999999;46.7;123.6;81.138;0.182;1.261;0.0;45.42882;163.7;0.0;127.0;1.16716;99.29999999999998;127.0;79.956;159.89999999999998;45.3;81.138;128.3;17916.0;0.46829649475329316
3673;3673;2014;Cook Islands;Western Pacific;83.1;2.0;6.74207;6.0;6.0;23.38998;13.0;27.35476;99.0;99.0;97.58301;4.82452;5.73402;98.0;99.94769;2.0;3.35591;117.0;116.0;134.0;126.6;80.313;47.8;124.1;81.29299999999999;0.18;1.215;0.0;44.50957;166.39999999999998;0.0;127.0;1.13497;99.0;127.0;80.31299999999999;161.89999999999998;46.0;81.29299999999999;129.8;17816.0;0.4664346654692411
3674;3674;2015;Cook Islands;Western Pacific;82.4;1.0;6.53978;6.0;4.0;22.54032;0.0;26.36456;99.0;99.0;97.9586;4.64929;5.55181;99.0;99.95367;0.0;3.24355;117.0;116.0;135.70000000000002;126.9;80.795;48.7;124.3;81.96300000000001;0.168;1.1720000000000002;0.0;43.57781;169.0;0.0;127.0;1.10254;99.0;127.0;80.79499999999999;163.7;46.6;81.96300000000001;131.10000000000002;17695.0;0.46566826787228033
3675;3675;2016;Cook Islands;Western Pacific;82.0;1.0;6.35648;6.0;4.0;21.77308;13.0;25.48414;99.0;99.0;98.3342;4.46698;5.38403;90.0;99.95965;2.0;3.1421900000000003;117.0;116.0;137.0;127.29999999999998;81.708;49.8;124.7;82.875;0.167;1.13;0.0;42.77658;171.4;0.0;127.0;1.07369;99.0;127.0;81.70799999999998;165.4;47.400000000000006;82.875;132.2;17546.0;0.467342984155933
3676;3676;2017;Cook Islands;Western Pacific;81.5;1.0;6.16686;4.0;4.0;20.98979;0.0;24.56767;99.0;99.0;98.7098;4.30951;5.23592;98.0;99.96563;0.0;3.03743;117.0;116.0;138.3;127.6;82.312;50.8;124.8;83.277;0.165;1.109;0.0;41.74205;173.5;0.0;127.0;1.04669;98.7;127.0;82.31199999999998;167.0;48.0;83.277;133.2;17395.0;0.4685254383443518
3677;3677;2018;Cook Islands;Western Pacific;81.0;1.0;5.9895;4.0;4.0;20.25379;0.0;23.706;99.0;99.0;99.08539;4.16585;5.08846;99.0;99.97161;0.0;2.93984;117.0;116.0;139.7;127.9;82.914;52.1;125.0;83.77799999999999;0.154;1.0779999999999998;0.0;40.88417;175.8;0.0;127.0;1.01857;98.4;127.0;82.914;168.7;48.900000000000006;83.77799999999999;134.1;17253.0;0.4694835680751174
3678;3678;2019;Cook Islands;Western Pacific;80.9;1.0;5.82384;4.0;4.0;19.58274;13.0;22.90779;98.0;98.0;99.08539;4.02231;4.95588;99.0;99.97161;2.0;2.84931;117.0;116.0;141.0;128.3;83.939;53.5;125.1;84.691;0.152;1.051;0.0;40.01823;178.0;0.0;126.0;0.99403;98.4;127.0;83.939;170.2;49.9;84.691;135.3;17110.0;0.47282291057860903
3679;3679;2000;Cook Islands;Western Pacific;90.5;4.0;11.82032;14.0;12.0;46.21108;6.4;53.96661;92.0;92.0;92.32467;9.65617;9.69786;76.0;99.86398;1.0;6.2720400000000005;116.0;116.0;112.9;117.2;82.002;32.8;110.0;84.08899999999998;0.287;2.007;2.0;63.56257000000001;132.60000000000002;2.0;127.0;1.87239;104.7;127.0;82.00200000000001;134.0;33.1;84.08899999999998;108.6;15897.0;0.5692898031075045
